timestamp_sim,timestamp_wall,event,joint_positions,ee_position,gripper_state,package_id
15.85,1786774905.3789,sample,"[1.42187, -1.47746, 1.87036, -2.26709, 4.65655, 0.0]","[-6.34967, -0.0608, 2.31377]",open,
15.95,1786774905.5118,sample,"[1.42186, -1.47745, 1.90289, -2.26709, 4.65655, 0.0]","[-6.35102, -0.06991, 2.29223]",open,
16.05,1786774905.6387,sample,"[1.42184, -1.47744, 1.95126, -2.26709, 4.65655, 0.0]","[-6.35323, -0.08472, 2.26078]",open,
16.15,1786774905.767,sample,"[1.42184, -1.47744, 1.97708, -2.26709, 4.65655, 0.0]","[-6.35451, -0.09324, 2.24431]",open,
16.25,1786774905.9029,sample,"[1.42184, -1.47745, 1.98657, -2.26709, 4.65655, 0.0]","[-6.355, -0.09648, 2.23831]",open,
16.35,1786774906.0312,sample,"[1.42184, -1.47745, 1.99006, -2.26709, 4.65655, 0.0]","[-6.35518, -0.09768, 2.23611]",open,
16.45,1786774906.1661,sample,"[1.42184, -1.47745, 1.99134, -2.26709, 4.65655, 0.0]","[-6.35524, -0.09813, 2.23531]",open,
16.55,1786774906.2973,sample,"[1.42184, -1.47745, 1.99181, -2.26709, 4.65655, 0.0]","[-6.35527, -0.09829, 2.23501]",open,
16.65,1786774906.4363,sample,"[1.42184, -1.47745, 1.99199, -2.26709, 4.65655, 0.0]","[-6.35528, -0.09835, 2.2349]",open,
16.75,1786774906.5717,sample,"[1.42184, -1.47745, 1.99206, -2.26709, 4.65655, 0.0]","[-6.35528, -0.09838, 2.23486]",open,
16.85,1786774906.7066,sample,"[1.42186, -1.4906, 1.9921, -2.26709, 4.65655, 0.0]","[-6.35581, -0.1018, 2.24383]",open,
16.95,1786774906.8339,sample,"[1.42187, -1.5327, 1.9921, -2.26709, 4.65655, 0.0]","[-6.35758, -0.11351, 2.2723]",open,
17.05,1786774906.9696,sample,"[1.42187, -1.57297, 1.99208, -2.26709, 4.65656, 0.0]","[-6.35942, -0.12581, 2.29906]",open,
17.15,1786774907.1019,sample,"[1.42186, -1.58845, 1.99207, -2.26709, 4.65655, 0.0]","[-6.36017, -0.13082, 2.30922]",open,
17.25,1786774907.2373,sample,"[1.42186, -1.59415, 1.99206, -2.26709, 4.65655, 0.0]","[-6.36045, -0.1327, 2.31293]",open,
17.35,1786774907.3711,sample,"[1.42186, -1.59624, 1.99207, -2.26709, 4.65655, 0.0]","[-6.36055, -0.1334, 2.31429]",open,
17.45,1786774907.507,sample,"[1.42185, -1.59701, 1.99207, -2.26709, 4.65654, 0.0]","[-6.36059, -0.13365, 2.31479]",open,
17.55,1786774907.6424,sample,"[1.42185, -1.5973, 1.99207, -2.26709, 4.65654, 0.0]","[-6.3606, -0.13375, 2.31498]",open,
17.65,1786774907.7717,sample,"[1.42185, -1.5974, 1.99207, -2.26709, 4.65654, 0.0]","[-6.3606, -0.13378, 2.31504]",open,
17.75,1786774907.9084,sample,"[1.42185, -1.59745, 1.99207, -2.26709, 4.65654, 0.0]","[-6.3606, -0.1338, 2.31508]",open,
17.85,1786774908.0408,sample,"[1.42184, -1.59746, 2.0172, -2.26709, 4.65654, 0.0]","[-6.36165, -0.14081, 2.29843]",open,
17.95,1786774908.1686,sample,"[1.42184, -1.59746, 2.06002, -2.26709, 4.65654, 0.0]","[-6.36358, -0.15369, 2.27048]",open,
18.05,1786774908.2965,sample,"[1.42184, -1.59745, 2.0803, -2.26709, 4.65654, 0.0]","[-6.36456, -0.1602, 2.25744]",open,
18.15,1786774908.4232,sample,"[1.42184, -1.59745, 2.08776, -2.26709, 4.65654, 0.0]","[-6.36493, -0.16266, 2.25268]",open,
18.25,1786774908.5597,sample,"[1.42184, -1.59898, 2.09051, -2.26709, 4.65654, 0.0]","[-6.36513, -0.16399, 2.25188]",open,
